slug,page_title,section,page_type,phase,primary_query,schema,content_status,hcu_score,brief_path,notes
/madinah-to-makkah-taxi,Madinah to Makkah Taxi,Inter-City Transfers,route_intercity,P1,madinah to makkah taxi,Service|FAQPage|BreadcrumbList,to_write,,briefs/madinah-to-makkah.md,Reverse of core route. Bir Ali Miqat stop — new brief needed
/makkah-to-taif-taxi,Makkah to Taif Taxi,Inter-City Transfers,route_intercity,P2,makkah to taif taxi,Service|FAQPage|BreadcrumbList,to_write,,briefs/16-makkah-to-taif.md,75 km. SAR 200–560
/taif-to-makkah-taxi,Taif to Makkah Taxi,Inter-City Transfers,route_intercity,P2,taif to makkah taxi,Service|FAQPage|BreadcrumbList,to_write,,briefs/taif-to-makkah.md,75 km reverse — new brief needed
/makkah-to-riyadh-taxi,Makkah to Riyadh Taxi,Inter-City Transfers,route_intercity,P3,makkah to riyadh taxi,Service|FAQPage|BreadcrumbList,to_write,,briefs/makkah-to-riyadh.md,900 km. SAR 1200–2400 — new brief needed
/riyadh-to-makkah-taxi,Riyadh to Makkah Taxi,Inter-City Transfers,route_intercity,P3,riyadh to makkah taxi,Service|FAQPage|BreadcrumbList,to_write,,briefs/17-riyadh-to-makkah.md,900 km reverse. SAR 1200–2400
/madinah-to-taif-taxi,Madinah to Taif Taxi,Inter-City Transfers,route_intercity,P3,madinah to taif taxi,Service|FAQPage|BreadcrumbList,to_write,,briefs/madinah-to-taif.md,300 km. SAR 450–1050 — new brief needed
/taif-to-madinah-taxi,Taif to Madinah Taxi,Inter-City Transfers,route_intercity,P3,taif to madinah taxi,Service|FAQPage|BreadcrumbList,to_write,,briefs/taif-to-madinah.md,300 km reverse — new brief needed
/riyadh-to-madinah-taxi,Riyadh to Madinah Taxi,Inter-City Transfers,route_intercity,P3,riyadh to madinah taxi,Service|FAQPage|BreadcrumbList,to_write,,briefs/18-riyadh-to-madinah.md,850 km. SAR 1100–2300
/riyadh-to-taif-taxi,Riyadh to Taif Taxi,Inter-City Transfers,route_intercity,P4,riyadh to taif taxi,Service|FAQPage|BreadcrumbList,to_write,,briefs/riyadh-to-taif.md,820 km. SAR 1100–2300 — new brief needed
/makkah-ziyarah-taxi-tours,Makkah Ziyarah Taxi Tours,Ziyarah Tours,ziyarah,P2,makkah ziyarah taxi,Service|FAQPage|BreadcrumbList,to_write,,briefs/03-makkah-ziyarat.md,Half-day + full-day. Driver transport only
/madinah-ziyarah-taxi-tours,Madinah Ziyarah Taxi Tours,Ziyarah Tours,ziyarah,P2,madinah ziyarah taxi,Service|FAQPage|BreadcrumbList,to_write,,briefs/04-madinah-ziyarat.md,Quba + Uhud + Qiblatayn. Half/full day
/full-makkah-madinah-ziyarah-package,Full Makkah–Madinah Ziyarah Package,Ziyarah Tours,ziyarah,P2,makkah madinah ziyarah package,Service|FAQPage|BreadcrumbList,to_write,,briefs/full-ziyarah-package.md,Multi-day combining both cities — new brief needed
/jeddah-ziyarah-taxi,Jeddah Ziyarah Taxi,Ziyarah Tours,ziyarah,P3,jeddah ziyarah taxi,Service|FAQPage|BreadcrumbList,to_write,,briefs/jeddah-ziyarah.md,Al-Balad + Corniche + historic Jeddah — new brief needed
/taif-ziyarah-taxi,Taif Ziyarah Taxi,Ziyarah Tours,ziyarah,P3,taif ziyarah taxi tour,Service|FAQPage|BreadcrumbList,to_write,,briefs/taif-ziyarah.md,Al-Shafa + rose farms + cable car — new brief needed
/riyadh-ziyarah-taxi,Riyadh Ziyarah Taxi,Ziyarah Tours,ziyarah,P3,riyadh ziyarah taxi,Service|FAQPage|BreadcrumbList,to_write,,briefs/riyadh-ziyarah.md,Diriyah + Masmak + National Museum — new brief needed
/private-ziyarah-taxi-package,Private Ziyarah Taxi Package,Ziyarah Tours,ziyarah,P3,private ziyarah taxi package,Service|FAQPage|BreadcrumbList,to_write,,briefs/private-ziyarah-package.md,Custom itinerary + dedicated vehicle — new brief needed
/group-ziyarah-taxi,Group Ziyarah Taxi,Ziyarah Tours,ziyarah,P3,group ziyarah taxi,Service|FAQPage|BreadcrumbList,to_write,,briefs/group-ziyarah.md,Hiace + Coaster for groups 10–30 — new brief needed
/umrah-taxi-vehicle-fleet,Umrah Taxi Vehicle Fleet,Vehicle & Segments,fleet,P1,umrah taxi vehicle fleet,Service|BreadcrumbList,to_write,,briefs/06-fleet-capacity.md,Full spec table: model + pax + bags + price
/family-umrah-taxi,Family Umrah Taxi,Vehicle & Segments,segment,P2,family umrah taxi,Service|FAQPage|BreadcrumbList,to_write,,briefs/family-umrah-taxi.md,SUV + Hiace. Baby seats. Haram zone pickup — new brief needed
/group-umrah-taxi-10-persons,Group Umrah Taxi (10+ Persons),Vehicle & Segments,segment,P2,group umrah taxi,Service|FAQPage|BreadcrumbList,to_write,,briefs/group-umrah-10.md,Coaster + Hiace. Per-vehicle pricing — new brief needed
/female-friendly-umrah-taxi,Female-Friendly Umrah Taxi,Vehicle & Segments,segment,P2,female umrah taxi,Service|FAQPage|BreadcrumbList,to_write,,briefs/female-friendly-umrah-taxi.md,Gap page — no competitor ranks. Safety + privacy policy
/luxury-umrah-taxi,Luxury Umrah Taxi,Vehicle & Segments,segment,P3,luxury umrah taxi,Service|FAQPage|BreadcrumbList,to_write,,briefs/luxury-umrah-taxi.md,Mercedes / GMC Yukon. VIP experience — new brief needed
/economy-umrah-taxi,Economy Umrah Taxi,Vehicle & Segments,segment,P3,economy umrah taxi,Service|FAQPage|BreadcrumbList,to_write,,briefs/economy-umrah-taxi.md,Sedan tier. Budget pilgrims — new brief needed
/umrah-taxi-makkah,Umrah Taxi Makkah,City Pages,city,P2,umrah taxi makkah,Service|FAQPage|BreadcrumbList,to_write,,briefs/19-city-makkah.md,Links to JED→MKK + intercity + ziyarah Makkah
/umrah-taxi-madinah,Umrah Taxi Madinah,City Pages,city,P2,umrah taxi madinah,Service|FAQPage|BreadcrumbList,to_write,,briefs/20-city-madinah.md,Links to MED transfers + MKK→MAD + ziyarah Madinah
/umrah-taxi-jeddah,Umrah Taxi Jeddah,City Pages,city,P2,umrah taxi jeddah,Service|FAQPage|BreadcrumbList,to_write,,briefs/21-city-jeddah.md,Emphasise airport + outbound transfers from JED
/umrah-taxi-taif,Umrah Taxi Taif,City Pages,city,P3,umrah taxi taif,Service|FAQPage|BreadcrumbList,to_write,,briefs/22-city-taif.md,Day trips + seasonal ziyarah angle
/umrah-taxi-riyadh,Umrah Taxi Riyadh,City Pages,city,P3,umrah taxi riyadh,Service|FAQPage|BreadcrumbList,to_write,,briefs/23-city-riyadh.md,Long-distance transfers. Advance booking emphasis
/umrah-season-2026-guide,Umrah Season 2026 Guide,Pilgrim Guides,outer,P3,umrah season 2026,Article|BreadcrumbList,to_write,,briefs/umrah-season-2026.md,Peak periods + transport demand calendar — new brief needed
/hajj-2026-taxi-guide,Hajj 2026 Taxi Guide,Pilgrim Guides,outer,P3,hajj 2026 taxi,Article|FAQPage|BreadcrumbList,to_write,,briefs/12-hajj-taxi-service.md,Hajj restrictions + what transport is available. Careful claims
/pilgrim-tips-for-pakistani-umrah,Pilgrim Tips for Pakistani Umrah,Pilgrim Guides,outer,P4,pakistani umrah taxi tips,Article|BreadcrumbList,to_write,,briefs/pakistani-pilgrim-tips.md,Urdu-speaking drivers. Pakistani community angle — new brief needed
/how-to-book-umrah-taxi-online,How to Book Umrah Taxi Online,Pilgrim Guides,outer,P2,how to book umrah taxi,HowTo|FAQPage|BreadcrumbList,to_write,,briefs/09-how-airport-pickup-works.md,Step-by-step booking flow with WhatsApp + form
/meeqat-ihram-transfer-guide,Meeqat & Ihram Transfer Guide,Pilgrim Guides,outer,P3,meeqat ihram transfer,Article|FAQPage|BreadcrumbList,to_write,,briefs/meeqat-ihram-guide.md,Miqat per route. Driver stop policy — new brief needed
/heat-safety-for-pilgrims-2026,Heat Safety for Pilgrims 2026,Pilgrim Guides,outer,P4,heat safety pilgrims saudi,Article|BreadcrumbList,to_write,,briefs/heat-safety-pilgrims.md,AC vehicles + hydration + peak summer — new brief needed
/umrah-visa-taxi-guide,Umrah Visa & Taxi Guide,Pilgrim Guides,outer,P4,umrah visa taxi,Article|FAQPage|BreadcrumbList,to_write,,briefs/umrah-visa-taxi.md,Visa types + airports to use + taxi relevance — new brief needed
/women-umrah-taxi-guide,Women's Umrah Taxi Guide,Pilgrim Guides,outer,P2,women umrah taxi guide,Article|FAQPage|BreadcrumbList,to_write,,briefs/women-umrah-taxi-guide.md,Gap page. Links to /female-friendly-umrah-taxi — new brief needed
/elderly-umrah-taxi-guide,Elderly Umrah Taxi Guide,Pilgrim Guides,outer,P2,elderly umrah taxi guide,Article|FAQPage|BreadcrumbList,to_write,,briefs/elderly-umrah-taxi-guide.md,Wheelchair + assistance + Hiace specs — new brief needed
/group-umrah-taxi-guide,Group Umrah Taxi Guide,Pilgrim Guides,outer,P3,group umrah taxi booking,HowTo|FAQPage|BreadcrumbList,to_write,,briefs/group-umrah-guide.md,How to coordinate 10+ pilgrim group — new brief needed
/prayer-times-taxi-schedule,Prayer Times & Taxi Schedule,Pilgrim Guides,outer,P4,prayer times umrah taxi,Article|BreadcrumbList,to_write,,briefs/prayer-times-taxi.md,Fajr–Isha schedule + driver prayer stop policy — new brief needed
/umrah-taxi-booking-tips-2026,Umrah Taxi Booking Tips 2026,Pilgrim Guides,outer,P3,umrah taxi booking tips,Article|HowTo|BreadcrumbList,to_write,,briefs/booking-tips-2026.md,12 practical tips. Advance booking + seasonal demand — new brief needed
/umrah-taxi-vs-careem-uber,Umrah Taxi vs Careem & Uber,Comparison & Trust,outer,P3,umrah taxi vs careem,Article|FAQPage|BreadcrumbList,to_write,,briefs/umrah-vs-careem-uber.md,Private vs ride-hailing. Intercity limitations — new brief needed
/why-choose-online-umrah-taxi,Why Choose Online Umrah Taxi,Comparison & Trust,outer,P3,why choose umrah taxi,Article|BreadcrumbList,to_write,,briefs/why-choose-us.md,USPs: fixed price + flight tracking + prayer stops — new brief needed
/umrah-taxi-testimonials,Umrah Taxi Testimonials,Comparison & Trust,outer,P4,umrah taxi reviews,Review|BreadcrumbList,to_write,,briefs/testimonials.md,Real customer stories. Placeholder until reviews collected
/pakistani-pilgrim-umrah-taxi-stories,Pakistani Pilgrim Umrah Stories,Comparison & Trust,outer,P4,pakistani umrah experience,Article|BreadcrumbList,to_write,,briefs/pakistani-stories.md,Community storytelling. Urdu angle — new brief needed
/about-us,About Us,About & Legal,legal,P1,about online umrah taxi,AboutPage|BreadcrumbList,to_write,,briefs/07-booking-contact.md,Business identity: founding year + team + mission. E-E-A-T critical
/contact-us,Contact Us,About & Legal,legal,P1,contact umrah taxi,ContactPage|BreadcrumbList,to_write,,briefs/07-booking-contact.md,All channels: WhatsApp + form + phone + hours
/privacy-policy,Privacy Policy,About & Legal,legal,P1,umrah taxi privacy policy,WebPage|BreadcrumbList,to_write,,briefs/privacy-policy.md,GDPR + Saudi data law compliance — new brief needed
/terms-and-conditions,Terms & Conditions,About & Legal,legal,P1,umrah taxi terms conditions,WebPage|BreadcrumbList,to_write,,briefs/terms-conditions.md,Cancellation + refund + booking contract — new brief needed
/saudi-transport-license,Saudi Transport Licence,About & Legal,legal,P2,saudi umrah taxi licence,WebPage|BreadcrumbList,to_write,,briefs/saudi-transport-license.md,MOT permit details + compliance. Critical E-E-A-T page — new brief needed
/fleet-safety-standards,Fleet Safety Standards,About & Legal,legal,P2,umrah taxi safety standards,WebPage|BreadcrumbList,to_write,,briefs/fleet-safety.md,Vehicle inspection + insurance + driver vetting — new brief needed
/careers,Careers,About & Legal,legal,P4,online umrah taxi careers,WebPage|BreadcrumbList,to_write,,briefs/careers.md,Business legitimacy signal. Driver hiring process — new brief needed
/faq,Frequently Asked Questions,About & Legal,faq,P1,umrah taxi faq,FAQPage|BreadcrumbList,to_write,,briefs/faq-hub.md,Comprehensive FAQ covering all query clusters — new brief needed
